City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,221,Viedma,AR,2020-11-28 17:03:33,-40.81,-63.0,82.0,33,36,4.0,scattered clouds
222,222,Carutapera,BR,2020-11-28 17:03:33,-1.2,-46.02,86.5,66,82,9.64,broken clouds
229,229,Hobyo,SO,2020-11-28 17:03:34,5.35,48.53,80.69,72,87,16.31,overcast clouds
230,230,Formosa Do Rio Preto,BR,2020-11-28 17:03:34,-11.05,-45.19,86.79,45,52,8.21,broken clouds
231,231,Marsh Harbour,BS,2020-11-28 17:03:34,26.54,-77.06,75.79,64,1,5.61,clear sky
236,236,Yarada,IN,2020-11-28 17:03:35,17.65,83.27,77.0,73,90,6.93,haze
237,237,Luwuk,ID,2020-11-28 17:03:35,-0.95,122.79,78.89,74,95,3.0,light rain
238,238,Gamba,GA,2020-11-28 17:03:35,-2.65,10.0,77.13,86,35,5.99,scattered clouds
243,243,Acapulco,MX,2020-11-28 17:03:35,16.86,-99.89,85.26,65,93,3.44,overcast clouds
250,250,Sola,VU,2020-11-28 17:03:36,-13.88,167.55,79.47,86,86,15.32,light rain
252,252,San Francisco Menendez,SV,2020-11-28 17:03:36,13.84,-90.02,82.4,54,0,4.7,clear sky
256,256,Davila,PH,2020-11-28 17:03:37,18.47,120.58,78.03,75,75,28.81,broken clouds
257,257,Georgetown,MY,2020-11-28 17:00:09,5.41,100.34,77.0,94,20,5.88,few clouds
260,260,Pontal Do Parana,BR,2020-11-28 17:03:37,-25.65,-48.51,84.2,48,20,6.93,few clouds
261,261,Bahia Blanca,AR,2020-11-28 17:03:30,-38.72,-62.27,89.47,17,58,7.23,broken clouds
264,264,Yacopi,CO,2020-11-28 17:03:38,5.46,-74.34,77.99,58,50,4.07,scattered clouds
267,267,Katobu,ID,2020-11-28 17:03:38,-4.94,122.53,77.38,90,100,1.61,moderate rain
268,268,Saint-Pierre,RE,2020-11-28 17:03:38,-21.34,55.48,77.0,69,75,7.72,broken clouds
277,277,Brownsville,US,2020-11-28 17:00:03,25.9,-97.5,82.4,69,75,17.22,broken clouds
279,279,Ixtapa,MX,2020-11-28 17:02:13,20.7,-105.2,77.0,69,40,2.1,scattered clouds
280,280,Linhares,BR,2020-11-28 17:03:40,-19.39,-40.07,81.75,67,94,8.3,light rain
282,282,Flinders,AU,2020-11-28 17:03:40,-34.58,150.86,82.4,45,100,12.75,moderate rain
298,298,Yulara,AU,2020-11-28 17:03:42,-25.24,130.99,87.8,31,0,13.87,clear sky
302,302,Cururupu,BR,2020-11-28 17:02:20,-1.83,-44.87,87.21,62,99,7.05,light rain
304,304,Lakeside,US,2020-11-28 16:58:46,30.13,-81.77,75.99,69,75,8.05,broken clouds
311,311,Mocuba,MZ,2020-11-28 17:03:43,-16.84,36.99,79.75,68,87,9.66,overcast clouds
315,315,Amapa,BR,2020-11-28 17:03:44,1.0,-52.0,83.25,81,72,4.32,broken clouds
316,316,Labuhan,ID,2020-11-28 17:03:44,-6.88,112.21,78.57,88,100,6.11,moderate rain
324,324,Bumba,CD,2020-11-28 17:03:45,2.18,22.47,78.31,76,71,3.89,broken clouds
326,326,Sao Joao Dos Patos,BR,2020-11-28 17:03:45,-6.5,-43.7,86.47,56,100,7.38,overcast clouds
328,328,Dingle,PH,2020-11-28 17:03:45,11.0,122.67,76.08,91,56,7.36,broken clouds
334,334,San Miguel,SV,2020-11-28 17:03:46,13.48,-88.18,86.0,79,0,3.36,clear sky
341,341,Coahuayana,MX,2020-11-28 17:03:47,18.73,-103.68,77.0,78,40,2.3,scattered clouds
344,344,Mackay,AU,2020-11-28 17:03:32,-21.15,149.2,75.2,64,40,8.05,scattered clouds
347,347,Quatre Cocos,MU,2020-11-28 17:03:47,-20.21,57.76,75.99,78,40,12.21,scattered clouds
352,352,Ambon,ID,2020-11-28 17:03:48,-3.7,128.18,84.0,87,97,3.83,overcast clouds
354,354,Garissa,KE,2020-11-28 16:59:43,-0.45,39.64,84.15,62,73,13.65,light rain
356,356,Poum,NC,2020-11-28 17:03:48,-20.23,164.02,75.47,76,35,13.76,scattered clouds
357,357,Riachao Das Neves,BR,2020-11-28 17:03:49,-11.75,-44.91,88.25,39,66,8.72,broken clouds
372,372,San Juan Evangelista,MX,2020-11-28 17:03:50,17.9,-95.13,84.2,70,40,2.8,scattered clouds
374,374,Manokwari,ID,2020-11-28 17:03:50,-0.87,134.08,81.1,77,99,8.16,overcast clouds
376,376,Bodden Town,KY,2020-11-28 17:03:51,19.28,-81.25,82.99,74,40,14.99,scattered clouds
383,383,Tarauaca,BR,2020-11-28 17:03:52,-8.16,-70.77,87.98,63,81,3.09,light rain
386,386,Touros,BR,2020-11-28 17:03:52,-5.2,-35.46,86.0,58,40,20.8,scattered clouds
390,390,Maragogi,BR,2020-11-28 17:03:52,-9.01,-35.22,81.72,64,50,12.46,scattered clouds
391,391,Haapiti,PF,2020-11-28 17:03:52,-17.57,-149.87,80.6,83,75,4.7,broken clouds
397,397,Souillac,MU,2020-11-28 17:01:04,-20.52,57.52,75.2,78,40,11.52,scattered clouds
398,398,Bambous Virieux,MU,2020-11-28 17:03:53,-20.34,57.76,75.99,78,40,11.92,scattered clouds
